DNI,Asegurado,FecNac,SEXO,CPP,síntomas,enfermedad detectada,Distrito
37394974.0,Fernando David López Pérez,1936-11-13,M,EL CUMBE,"mareos, dolor de cabeza, visión borrosa",Hipertensión,Cutervo
48102213.0,Miguel Isabel Gutiérrez González,2002-10-19,M,CASERIO PAMPAGRANDE,"ojos llorosos, picazón",Alergia,Cutervo
99988094.0,Juan Laura García Mendoza,1968-01-11,F,CALLAYUC,"micción frecuente, sed excesiva, cansancio",Diabetes,Cutervo
26065418.0,Carmen Eduardo Delgado Rojas,2021-08-26,M,EL CUMBE,"opresión en el pecho, dificultad para respirar",Asma,Cutervo
41770164.0,Fernando Andrés Silva Flores,1975-10-22,M,,"pérdida de olfato, dificultad para respirar",COVID-19,Cutervo
36192502.0,Fernando Silva Pérez,2007-11-26,F,SAN JOSE DE LIRIO,"sed excesiva, micción frecuente, cansancio",Diabetes,Cutervo
72147347.0,Ángel Isabel Flores Rojas,1956-03-30,M,OTRO UNION SAN JOSE NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,tos,Asma,Cutervo
51465199.0,Luis Laura Torres Pérez,1987-07-16,M,OTRO COSTADO DEL RESERVORIO SN   PISO 01,"cansancio, micción frecuente, sed excesiva",Diabetes,Cutervo
74727030.0,Marta Pablo Silva Rojas,2007-03-15,M,FILADELFIA,"estornudos, ojos llorosos",Alergia,Cutervo
51274922.0,Juan Luisa Rojas González,1978-07-01,M,CUCHEA,"dolor de cabeza, sensibilidad a la luz, náuseas",Migraña,Cutervo
80944285.0,Sandra Sara Martínez Torres,2017-09-04,M,CALLE. JOSE GALVEZ NRO. PUERTA 00SN PISO.01,,,Cutervo
58584403.0,Carmen Andrés González Mendoza,1981-03-25,M,,"tos, congestión nasal, dolor de garganta",Gripe,Cutervo
81435092.0,Yolanda Carolina García Silva,1988-03-07,M,SAN ISIDRO,ojos llorosos,Migraña,Cutervo
59839043.0,Ana Pablo Torres Martínez,2002-10-23,F,OTRO. SECTPOR EL CAMPO NRO. PUERTA SN PISO.01,"dificultad para respirar, sibilancias, opresión en el pecho",Asma,Cutervo
84692388.0,Yolanda Raúl Vargas López,1988-09-05,F,SAN JOSE DE LIRIO,"acidez estomacal, dolor abdominal",Gastritis,Cutervo
94755180.0,Carlos Gloria Mendoza Flores,1965-10-18,M,CP EL CUMBE,"dificultad para respirar, sibilancias",Asma,Cutervo
91916966.0,Patricia Alberto Flores Mendoza,1985-05-08,F,CASERIO SAN ISIDRO,estornudos,Hipertensión,Cutervo
98347333.0,Lucía Sara Sánchez González,2022-06-24,F,BARIO NIÑO DIOS,"fiebre, dolor de garganta",Gripe,Cutervo
56193460.0,María Alberto Vargas Castillo,1967-08-15,F,C.P.EL CUMBE,"micción frecuente, sed excesiva",Gastritis,Cutervo
98346194.0,Miguel Olga Rodríguez Cruz,1975-01-02,M,CASERIO CHURAZ,congestión nasal,Diabetes,Cutervo
62214708.0,Carmen David García Silva,1962-12-08,M,CASERIO CHURAZ,sed excesiva,Gastritis,Cutervo
14649186.0,Verónica Eduardo Cruz Mendoza,2021-12-21,F,CAJAMARCA - CUTERVO,"congestión nasal, fiebre",Migraña,Cutervo
44156206.0,Lucía Sara Martínez Rodríguez,1980-02-27,M,SANTA FE,"tos, fiebre",Gripe,Cutervo
80287375.0,María David Rodríguez Herrera,2009-05-24,M,CHORRILLOS,"micción frecuente, sed excesiva, cansancio",Diabetes,Cutervo
58324540.0,Carmen Isabel Martínez Flores,1983-08-30,M,YAPANA,"ojos llorosos, estornudos",Alergia,Cutervo
35164852.0,Luis Héctor Torres Pérez,2022-12-09,M,CASERIO VISTA ALEGRE,,Migraña,Cutervo
84141633.0,Rosa Alberto Delgado Castillo,2023-12-31,F,CENTRO POBLADO CUMBE,sed excesiva,Migraña,Cutervo
66036226.0,Juan Claudia Sánchez Paredes,1993-01-01,M,CASERIO PACCHA,"sensibilidad a la luz, náuseas, dolor de cabeza",Migraña,Cutervo
69556202.0,Miguel Raúl Castillo Rojas,2008-05-29,M,CASERIO CUCHEA,"náuseas, dolor de cabeza, sensibilidad a la luz",Migraña,Cutervo
46098069.0,Ángel Isabel Delgado Cruz,2011-03-30,M,EL CUMBE,"ojos llorosos, estornudos, picazón",Alergia,Cutervo
87938869.0,Jorge Marco Cruz Delgado,2023-07-05,M,cas. san juan de chorrillos,"fiebre, dolor de garganta",Gripe,Cutervo
14777331.0,Jesús Marco González Gutiérrez,2012-07-27,F,SAN ISIDRO,"dolor abdominal, acidez estomacal, náuseas",Gastritis,Cutervo
27946158.0,Sandra Mónica Rodríguez Ramírez,2013-12-20,M,CALLAYUC,"pérdida de olfato, fiebre, tos seca",COVID-19,Cutervo
47957603.0,Marta Isabel Ramírez Mendoza,2008-10-17,F,YAPANA,,Diabetes,Cutervo
77196698.0,Marta Alberto Vargas Herrera,2023-08-20,F,SAN JOSE  DE LIRIO,"dificultad para respirar, pérdida de olfato, tos seca",COVID-19,Cutervo
26410718.0,Patricia Alberto Rodríguez López,1968-01-01,F,FILADELFIA,"sibilancias, opresión en el pecho",Asma,Cutervo
71600897.0,Pedro Carolina Martínez González,1974-12-15,M,SANTA FE,,,Cutervo
72956410.0,Patricia Isabel González Cruz,2008-03-19,M,CASERIO SAN ISIDRO,"visión borrosa, mareos",Hipertensión,Cutervo
23111852.0,Verónica David González Torres,1949-05-07,M,CASERIO PUQUIO,"dificultad para respirar, fiebre, tos seca",COVID-19,Cutervo
68750390.0,Sandra Laura Gutiérrez Ramírez,2010-06-02,F,SAN JOSE DE LIRIO,,Alergia,Cutervo
75863651.0,Jesús Natalia Rojas Vargas,2013-12-06,M,EL CUMBE,"dolor abdominal, acidez estomacal",Hipertensión,Cutervo
98859218.0,Pedro Alberto Ramírez López,1994-10-12,M,CASERIO SAN JOSE,"dolor de cabeza, sensibilidad a la luz",Migraña,Cutervo
29328222.0,Verónica Alberto Pérez Silva,2011-06-27,M,el sallof,"micción frecuente, sed excesiva",Diabetes,Cutervo
80300348.0,Luis Gloria Delgado González,1989-06-17,M,OTRO. CHAQUIMAYO NRO. PUERTA SN PISO.01,"tos seca, fiebre",Migraña,Cutervo
77800955.0,Pedro Héctor Vargas Delgado,2005-04-27,M,CASERIO CHONTAS,"náuseas, dolor de cabeza, sensibilidad a la luz",Migraña,Cutervo
97036199.0,Jorge Natalia Silva Pérez,1986-07-07,M,SAN JOSE DE LIRIO,estornudos,COVID-19,Cutervo
88680849.0,Yolanda Andrés Cruz Rojas,2001-07-20,M,CASERIO SAN ISIDRO,"dolor de cabeza, visión borrosa, mareos",Hipertensión,Cutervo
62111865.0,Carmen Isabel Rodríguez Paredes,2012-05-23,M,CASERIO SAN ISIDRO,"fiebre, tos",Gripe,Cutervo
44068571.0,Jorge Diego Paredes Vargas,1988-05-15,M,NOGAL,"visión borrosa, dolor de cabeza",Diabetes,Cutervo
36247347.0,Carmen Alberto Flores Pérez,1953-05-08,F,CALLE SAENZ PEÑA SN,"tos seca, dificultad para respirar",COVID-19,Cutervo
30507580.0,José Luisa Vargas Paredes,2010-06-27,M,CASERIO SAN JUAN BAUTISTA,"náuseas, sensibilidad a la luz, dolor de cabeza",Migraña,Cutervo
23778910.0,Yolanda Raúl Martínez Herrera,1976-09-29,M,C.P.EL CUMBE,"sensibilidad a la luz, náuseas",Gastritis,Cutervo
84450156.0,Patricia Natalia Rodríguez Paredes,1998-02-19,M,CASERIO BATANCILLO,"mareos, dolor de cabeza",Hipertensión,Cutervo
75743158.0,María Roberto Ramírez Delgado,1999-02-27,F,CALLAYUC,"fiebre, congestión nasal",Gripe,Cutervo
80445301.0,Fernando Andrés López Pérez,2009-04-28,M,CASERIO CHONTAS,"dolor de cabeza, visión borrosa",Hipertensión,Cutervo
23415229.0,Verónica Diego Sánchez López,2005-01-25,F,CALLAYUC,"mareos, visión borrosa",Hipertensión,Cutervo
61073368.0,Verónica Olga Mendoza Cruz,2018-08-13,F,OTRO. CUMBE NRO. PUERTA SN PISO.01,dolor de cabeza,,Cutervo
91969458.0,Juan Isabel Torres Gutiérrez,2003-10-17,M,CALLAYUC,,,Cutervo
48878309.0,Marta Sara Silva Gutiérrez,1975-10-03,M,,,,Cutervo
61529651.0,Luis Diego Ramírez Delgado,2019-04-22,M,OTRO CALLAYUC NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE. KM.,cansancio,Migraña,Cutervo
47678512.0,Marta Eduardo Delgado Silva,1936-02-13,F,JR COMERCIO SNS,"dolor abdominal, acidez estomacal",Gastritis,Cutervo
57552613.0,Jorge Roberto Rojas Silva,2009-02-26,M,CASERIO SAN JOSE DE LIRIO,fiebre,,Cutervo
93215384.0,Ángel Isabel López Castillo,1958-07-15,M,CASERIO SAN ISIDRO DE VILUCO,"acidez estomacal, dolor abdominal",Gastritis,Cutervo
92259375.0,Verónica Eduardo Gutiérrez López,2008-05-24,F,CHONTAS ALTAS,tos,,Cutervo
29298176.0,Marta Raúl Rodríguez Flores,1941-11-15,F,CRR. A SAN JUAN DE CHORRILLOS SN   PISO 01,"náuseas, sensibilidad a la luz",Gastritis,Cutervo
21173558.0,Ana Alberto Pérez Herrera,2012-10-18,F,CHURAZ,"dolor de cabeza, náuseas, sensibilidad a la luz",Migraña,Cutervo
33570206.0,Pedro Sara Rojas Flores,2021-05-29,F,CENTRO POBLADO CUMBE,"opresión en el pecho, dificultad para respirar",Asma,Cutervo
28399396.0,Patricia Héctor López Silva,2009-09-25,M,OTRO CAMINO A LA LLANGUA SN   PISO 01,"opresión en el pecho, dificultad para respirar, sibilancias",Asma,Cutervo
25618528.0,Pedro Gloria Gutiérrez Silva,2018-06-16,F,OTRO. UNION SAN JOSE NRO. PUERTA SN PISO.01,"náuseas, dolor de cabeza",Migraña,Cutervo
11466123.0,Yolanda Pablo Herrera Paredes,2012-07-21,M,la merendana,,Gastritis,Cutervo
45486521.0,Fernando Luisa Pérez Silva,1960-10-04,M,CASERIO SAN JOSE,"dolor de cabeza, visión borrosa, mareos",Hipertensión,Cutervo
62236937.0,Patricia Flores Ramírez,2013-09-06,F,CASERIO CHURAZ,"picazón, ojos llorosos",Alergia,Cutervo
88996141.0,Pedro Laura Rodríguez Mendoza,2015-02-19,F,CASERIO LLANGUA,,Alergia,Cutervo
60234291.0,Lucía Laura Silva Rojas,2020-01-22,F,CENTRO POBLADO EL CUMBE,"tos, dolor de garganta",Gripe,Cutervo
68197111.0,Fernando Andrés Torres Sánchez,1974-02-18,M,SAN ISIDRO,,,Cutervo
35582736.0,Fernando Eduardo Herrera López,2009-12-17,F,EL SALLOC,"dolor de garganta, congestión nasal, fiebre",Gripe,Cutervo
74412341.0,Fernando Mónica Torres González,1997-02-13,M,OTRO. BATANCILLO NRO. PUERTA SN PISO.01,"visión borrosa, dolor de cabeza",Hipertensión,Cutervo
95677434.0,María Laura Flores Rojas,2010-02-11,F,CALLAYUC,"cansancio, sed excesiva",Migraña,Cutervo
91426457.0,Patricia Claudia Rojas López,2000-07-25,F,CASERIO YAPANA,"dolor de cabeza, visión borrosa, mareos",Hipertensión,Cutervo
52213756.0,Ángel Mónica Mendoza Martínez,2000-12-10,F,CASERIO YAPANA,dolor de cabeza,,Cutervo
21912825.0,Carmen Alberto Herrera García,1990-04-04,M,OTRO. YAPANA NRO. PUERTA SN PISO.01,"acidez estomacal, náuseas",Gastritis,Cutervo
74414439.0,Miguel Mónica Flores Rojas,1985-07-16,F,CASERIO SAN JOSE DE LIRIO,dolor de cabeza,,Cutervo
15956740.0,Miguel Marco Rojas Mendoza,2001-04-12,F,CRR. YAPANA SN   PISO 01,,,Cutervo
56653557.0,Patricia Isabel Gutiérrez Vargas,2016-04-19,F,CASERIO SAN JUAN BAUTISTA,,,Cutervo
79726661.0,Juan Laura García Silva,1967-02-14,M,OTRO. EL CUMBE NRO. PUERTA SN PISO.01,"dificultad para respirar, fiebre",COVID-19,Cutervo
50777838.0,Luis Marco Pérez Torres,2014-07-03,M,AAHH LADERAS DE CHILLON MZ Z LOTE 159,"picazón, ojos llorosos, estornudos",Alergia,Cutervo
15570950.0,Patricia Isabel Gutiérrez García,1986-08-12,F,OTRO. CALLAYUC NRO. PUERTA SN PISO.01,"náuseas, dolor abdominal",Gastritis,Cutervo
62846670.0,Ángel Diego Cruz Pérez,1944-08-05,M,CALLAYUC,"náuseas, sensibilidad a la luz",COVID-19,Cutervo
15288819.0,María David Martínez Paredes,1996-12-26,F,CASERIO YAPANA,,,Cutervo
64422054.0,Fernando Raúl González Torres,1997-03-21,M,EL CUMBE,"dolor de cabeza, mareos",Diabetes,Cutervo
68792206.0,Jesús Vargas González,2019-05-30,F,OTRO. FILADELFIA NRO. PUERTA SN PISO.01,"sensibilidad a la luz, náuseas, dolor de cabeza",Migraña,Cutervo
42851406.0,Juan Alberto Flores González,2009-01-03,F,CASERIO BATANCILLO,"micción frecuente, sed excesiva",Diabetes,Cutervo
70140924.0,María Alberto González López,1980-05-15,F,GRAMALOTILLO,náuseas,Gripe,Cutervo
33054311.0,Jesús Claudia Rojas Rodríguez,1962-06-22,F,EL CUMBE,"mareos, visión borrosa",Hipertensión,Cutervo
66044082.0,Patricia Gloria Flores Sánchez,1975-08-06,F,C.P.EL CUMBE,"mareos, visión borrosa",Hipertensión,Cutervo
94711205.0,Fernando Natalia Flores Herrera,2019-08-21,F,OTRO LA LIBERTDAD NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"micción frecuente, cansancio",Diabetes,Cutervo
51532040.0,Yolanda Luisa Ramírez García,2016-09-16,F,OTRO. SECTOR EL CAMPO NRO. PUERTA SN PISO.01,"sed excesiva, cansancio",Diabetes,Cutervo
39565295.0,Ángel Sara González López,1999-05-03,M,CHURAZ,"náuseas, dolor abdominal, acidez estomacal",Gastritis,Cutervo
48636783.0,Fernando Isabel Herrera Gutiérrez,1966-04-15,F,FILADELFIA,"fiebre, dificultad para respirar",Diabetes,Cutervo
89882760.0,María Sara Pérez Rodríguez,2012-08-30,M,CASERIO BATANCILLO,"fiebre, tos, congestión nasal",Gripe,Cutervo
98921280.0,José Claudia Pérez García,2016-06-21,F,OTRO TOCHE PAMPA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"cansancio, sed excesiva",Migraña,Cutervo
40583978.0,Miguel Diego Paredes Silva,2005-06-12,M,CASERIO TOCHIPAMPA,"sibilancias, opresión en el pecho",Asma,Cutervo
66999701.0,Carmen Rodríguez Delgado,1962-03-04,M,SAN JOSE DE LIRIO,pérdida de olfato,Asma,Cutervo
17960891.0,Jorge Alberto Castillo López,1984-04-29,F,SAN JOSE,"tos, congestión nasal, dolor de garganta",Gripe,Cutervo
86456907.0,Sandra Eduardo Herrera Mendoza,1944-10-09,M,CHIPLE,,Asma,Cutervo
27734808.0,Pedro Mónica González Ramírez,2001-01-29,F,CASERIO FLOR DEL LIRIO,"pérdida de olfato, tos seca",COVID-19,Cutervo
79621167.0,Rosa Roberto Cruz Castillo,1998-09-03,F,OTRO CAMINO A SAN JOSÉ SN   PISO 01,"dolor de garganta, congestión nasal, tos",Gripe,Cutervo
56753747.0,Lucía Pérez Martínez,1986-04-21,M,C.P.EL CUMBE,"náuseas, dolor abdominal, acidez estomacal",Gastritis,Cutervo
50997562.0,Carlos Luisa Castillo Mendoza,1987-02-18,M,COMUNIDAD DE CHORRILLOS,,,Cutervo
85409928.0,Carmen David Paredes García,1987-01-21,M,SAN ISIDRO,fiebre,,Cutervo
78864822.0,Ángel Eduardo Rojas Pérez,1997-08-20,F,OTRO. FILADELFIA NRO. PUERTA SN PISO.01,"dolor de cabeza, mareos",Hipertensión,Cutervo
45418204.0,José Olga Delgado Herrera,1977-11-20,M,CASERIO YAPANA,"dolor abdominal, acidez estomacal",Gastritis,Cutervo
17874892.0,Jesús Eduardo Delgado Herrera,2019-08-12,M,OTRO COSTADO DE LA CARRETERA NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE. KM.,"acidez estomacal, dolor abdominal, náuseas",Gastritis,Cutervo
26816875.0,Jesús Carolina López Gutiérrez,1998-11-04,F,SAN ISIDRO,mareos,Alergia,Cutervo
79475869.0,Jesús Carolina Castillo Ramírez,1966-02-10,M,PERLAMAYO,"fiebre, dificultad para respirar",COVID-19,Cutervo
74150607.0,Ana Marco Rojas Ramírez,1979-04-01,F,EL CUMBE,"dolor de garganta, tos",COVID-19,Cutervo
62417313.0,Lucía Alberto Sánchez Flores,2003-06-10,M,CASERIO YAPANA,"dificultad para respirar, sibilancias",Asma,Cutervo
39431499.0,Patricia Pablo Gutiérrez Paredes,1998-02-15,F,SANTA ROSA,,,Cutervo
77165763.0,Carlos Sara Torres Pérez,1993-01-11,M,SAN JUAN DE CHORRILLOS,"sed excesiva, micción frecuente, cansancio",Diabetes,Cutervo
25273808.0,Juan Laura Silva Gutiérrez,1984-09-24,M,CASERIO SAN JOSE,"dolor de cabeza, sensibilidad a la luz",Migraña,Cutervo
19930107.0,José Pablo García Rodríguez,2001-04-23,M,CHURAZ,"cansancio, sed excesiva",Diabetes,Cutervo
16855078.0,Sandra Isabel González Paredes,2015-02-06,F,CASERIO CUCHEA,"ojos llorosos, picazón",Asma,Cutervo
67653268.0,Miguel Luisa Herrera Cruz,1991-09-01,F,OTRO. SECTOR EL CAMPO NRO. PUERTA SN PISO.01,"ojos llorosos, estornudos",Alergia,Cutervo
82300993.0,Rosa Alberto Martínez Cruz,1994-04-02,M,OTRO CALLAYUC NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"dolor de cabeza, sensibilidad a la luz",Migraña,Cutervo
88109260.0,Juan Raúl Cruz Pérez,2003-05-26,M,SAN ANTONIO DE VILUCO,"sed excesiva, cansancio, micción frecuente",Diabetes,Cutervo
19328158.0,Juan Diego López Delgado,1968-10-02,F,CASERIO CUCHEA,"acidez estomacal, náuseas, dolor abdominal",Gastritis,Cutervo
56330278.0,Verónica Olga Rodríguez Gutiérrez,2000-01-05,F,OTRO. EL MOLINO NRO. PUERTA SN PISO.01,"micción frecuente, sed excesiva, cansancio",Diabetes,Cutervo
91481778.0,Miguel Mendoza Ramírez,2016-09-14,M,OTRO. SECTOR LIMA PAMPA NRO. PUERTA SN PISO.01,,,Cutervo
98740853.0,Jesús Roberto Ramírez Sánchez,1980-06-22,M,CHONTAS BAJAS,,,Cutervo
45631195.0,Jesús Gutiérrez Ramírez,1998-08-15,F,SAN JOSE DE LIRIO,"sensibilidad a la luz, dolor de cabeza, náuseas",Migraña,Cutervo
92778293.0,Juan Carolina Cruz Mendoza,1996-01-13,M,OTRO CHIPLE NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"sensibilidad a la luz, náuseas",Migraña,Cutervo
12859076.0,Marta David Pérez Rodríguez,2020-09-17,F,CUMBE,,,Cutervo
76703963.0,Yolanda Isabel Delgado Rodríguez,1979-12-15,M,CASERIO TOCHEPAMPA,"sensibilidad a la luz, dolor de cabeza",Migraña,Cutervo
19974186.0,José Alberto Paredes Gutiérrez,2015-07-01,M,CHURAZ,dolor de cabeza,Gastritis,Cutervo
35597015.0,Sandra Carolina Silva García,1990-01-15,M,SAN ISIDRO,"dolor abdominal, acidez estomacal, náuseas",Gastritis,Cutervo
76619179.0,María Diego Paredes González,1997-07-28,F,CARR. CHORRILLOS NRO. PUERTA SN PISO.01,"dificultad para respirar, sibilancias, opresión en el pecho",Asma,Cutervo
99436692.0,José Eduardo Rojas Cruz,1968-11-01,M,CARR. FERNANDO BELAUNDE TERRY NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"pérdida de olfato, dificultad para respirar, fiebre",COVID-19,Cutervo
81577512.0,Ángel Eduardo Silva Delgado,2003-07-08,M,CASERIO SAN JOSE,tos,,Cutervo
37291318.0,Fernando Mónica Martínez Paredes,2004-11-12,M,CASERIO CHONTAS,"sensibilidad a la luz, dolor de cabeza, náuseas",Migraña,Cutervo
80665581.0,Carmen Pablo Mendoza Silva,2019-03-26,F,OTRO. QUEROMARCA NRO. PUERTA SN PISO.01,"fiebre, pérdida de olfato, tos seca",COVID-19,Cutervo
80382124.0,Rosa Eduardo Mendoza Delgado,2023-10-08,F,CUMBE,"mareos, visión borrosa",Hipertensión,Cutervo
39548238.0,Luis Raúl Gutiérrez Castillo,2010-02-16,F,CASERIO PUQUIO,"tos seca, dificultad para respirar",COVID-19,Cutervo
31230675.0,Pedro Mónica Rojas López,2013-07-07,F,OTRO BATANCILLO NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"pérdida de olfato, dificultad para respirar",COVID-19,Cutervo
31459796.0,Miguel Diego Vargas Pérez,1966-11-01,M,SAN JOSE,"opresión en el pecho, sibilancias",Asma,Cutervo
93123957.0,Jesús Roberto Sánchez Silva,1963-08-15,M,CARR. TUNTAS CALLAYUC NRO. PUERTA SN PISO.01,dolor de cabeza,,Cutervo
33187608.0,Lucía Andrés Mendoza Pérez,2019-01-06,M,OTRO. FILADELFIA NRO. PUERTA SN PISO.01,"cansancio, micción frecuente, sed excesiva",Diabetes,Cutervo
99989287.0,Yolanda Diego Martínez Herrera,2004-12-26,F,callayuc,"visión borrosa, dolor de cabeza",Hipertensión,Cutervo
41144860.0,Verónica Carolina Rojas Gutiérrez,2016-10-19,M,OTRO. SAN JUAN DE CHORRILLOS NRO. PUERTA SN PISO.01,visión borrosa,Asma,Cutervo
81221965.0,Ángel Isabel Rojas Castillo,1919-02-23,F,,micción frecuente,Alergia,Cutervo
25687935.0,Ana Alberto Sánchez Mendoza,2023-06-02,M,BATANCILLO,,,Cutervo
33317124.0,Luis Gloria Silva Gutiérrez,2005-09-17,F,CUCHEA,"tos, congestión nasal",Alergia,Cutervo
26481238.0,Fernando Marco Flores Vargas,2010-06-02,F,CPM EL CUMBE,náuseas,Gastritis,Cutervo
70487504.0,Pedro Claudia Delgado Rojas,1967-07-05,F,EL CUMBE,"dolor de garganta, fiebre",Gripe,Cutervo
63952056.0,Carmen Raúl Pérez García,1985-11-15,F,CASERIO LLANGUA,"dificultad para respirar, opresión en el pecho, sibilancias",Asma,Cutervo
21196071.0,Lucía Héctor Vargas Rojas,2022-04-11,M,SAN JOSE DE LIRIO,"pérdida de olfato, tos seca, dificultad para respirar",COVID-19,Cutervo
79288175.0,Fernando Diego Rodríguez González,2006-04-11,M,CASERIO SALLOF,,,Cutervo
73875074.0,Carmen Roberto Sánchez López,2001-04-22,M,OTRO. CAMINO AL SECTOR EL CAMPO NRO. PUERTA SN PISO.01,"dolor de cabeza, sensibilidad a la luz, náuseas",Migraña,Cutervo
79943923.0,Rosa Rojas Martínez,2024-09-18,F,CUMBE,"dificultad para respirar, opresión en el pecho",Asma,Cutervo
59213897.0,María Luisa González Torres,1989-03-25,M,OTRO. SANTA FE NRO. PUERTA SN PISO.01,"náuseas, acidez estomacal, dolor abdominal",Gastritis,Cutervo
60154529.0,Rosa Carolina Herrera Flores,1964-04-21,F,CALLAYUC,,Gastritis,Cutervo
23267893.0,Ángel Alberto Sánchez Martínez,1991-08-25,F,CASERIO LLANGUA,"fiebre, dificultad para respirar, tos seca",COVID-19,Cutervo
52416589.0,Marta Carolina Herrera Rodríguez,1993-02-01,F,VILUCO,"náuseas, dolor de cabeza, sensibilidad a la luz",Migraña,Cutervo
93301588.0,José Olga Silva López,2008-09-25,F,chontas,"dificultad para respirar, opresión en el pecho, sibilancias",Asma,Cutervo
51191914.0,Carmen Isabel González Flores,1986-11-11,F,CHIPLE,,Gripe,Cutervo
75579590.0,Ángel Laura Pérez Silva,2007-03-18,M,OTRO. SAN JUAN DE CHIPLE NRO. PUERTA SN PISO.01,"dificultad para respirar, tos seca",COVID-19,Cutervo
82746037.0,Juan Isabel Gutiérrez García,2004-10-13,F,CUCHEA,"tos seca, fiebre",COVID-19,Cutervo
61222655.0,Luis Claudia Torres Flores,2006-10-23,F,CASERIO UNION SAN JOSE,,,Cutervo
97142914.0,Jesús Eduardo Pérez Gutiérrez,2010-10-29,F,CASERIO SANTA RITA,"sensibilidad a la luz, náuseas",Migraña,Cutervo
12174854.0,Pedro Ramírez Vargas,2022-12-13,M,CALLE COMERCIO S/N,,Hipertensión,Cutervo
64923003.0,Jorge Alberto Gutiérrez Rodríguez,1978-10-18,M,CALLAYUC,"estornudos, picazón, ojos llorosos",Alergia,Cutervo
91889660.0,Miguel Laura García Rodríguez,1959-07-13,F,CASERIO CUCHEA,dolor de cabeza,COVID-19,Cutervo
52188194.0,Ángel Raúl Paredes Flores,1991-08-12,F,OTRO. YERBA BUENA NRO. PUERTA SN PISO.01,"sensibilidad a la luz, náuseas, dolor de cabeza",Migraña,Cutervo
89068394.0,Patricia Isabel Gutiérrez Castillo,2023-04-18,F,CALLAYUC,"cansancio, sed excesiva, micción frecuente",Diabetes,Cutervo
20293364.0,Carlos Roberto Herrera Delgado,2011-09-10,F,CHURAZ,"tos seca, fiebre, pérdida de olfato",COVID-19,Cutervo
10799176.0,Yolanda Isabel Rojas Castillo,1992-01-01,M,CAS CHONTAS ALTAS,"estornudos, ojos llorosos",Alergia,Cutervo
15066390.0,Rosa Alberto Cruz Torres,2010-11-04,F,CASERIO LA LLANGUA,"cansancio, micción frecuente",Hipertensión,Cutervo
15327994.0,Marta David González Castillo,2018-05-05,M,OTRO. SECTOR EL CAMPO NRO. PUERTA SN PISO.01,"visión borrosa, dolor de cabeza, mareos",Hipertensión,Cutervo
93881236.0,Ana Alberto Cruz Silva,1973-07-29,M,CASERIO BATANCILLO,"fiebre, dificultad para respirar",COVID-19,Cutervo
70733654.0,Ana Olga Sánchez Paredes,2019-01-08,M,OTRO. SAN JUAN BAUTISTA NRO. PUERTA SN PISO.01,"dolor de garganta, tos, fiebre",Gripe,Cutervo
60822500.0,Miguel Pablo López Rodríguez,2010-06-16,F,SAN JUAN BAUTISTIA,"dolor de cabeza, visión borrosa",Hipertensión,Cutervo
13557697.0,José Mónica Silva Gutiérrez,1994-07-22,F,SAN JOSE DE LIRIO,"fiebre, congestión nasal, tos",Gripe,Cutervo
81507035.0,Jorge Héctor Herrera Castillo,2013-01-26,M,CASERIO SAN JUAN BAUTISTA,"cansancio, sed excesiva",Diabetes,Cutervo
35713451.0,Yolanda Natalia Silva Paredes,1997-06-18,M,OTRO CHONTAS BAJAS NRO.SN BLOQUE. PISO.01 INTERIOR.  MZA.  LOTE.,"opresión en el pecho, sibilancias",Hipertensión,Cutervo
16016591.0,Ana Mónica Mendoza Ramírez,2010-11-03,F,CASERIO SANTA RITA,visión borrosa,COVID-19,Cutervo
72541984.0,Carlos Luisa Ramírez González,2000-10-14,M,CASERIO TOCHEPAMPA,"ojos llorosos, estornudos, picazón",Alergia,Cutervo
54876503.0,José Sara Paredes Pérez,2004-05-02,M,CUCHEA,"ojos llorosos, estornudos, picazón",Alergia,Cutervo
86633042.0,Fernando Eduardo Mendoza Rodríguez,2003-03-01,F,SAN JUAN BAUTISTA,"micción frecuente, cansancio, sed excesiva",Diabetes,Cutervo
84910249.0,Marta Isabel Paredes Vargas,1958-08-17,F,SAN ISIDRO,"tos, dolor de garganta",Gripe,Cutervo
37665430.0,Ana Alberto Castillo Vargas,1996-05-11,M,CASERIO CHONTAS ALTAS,"congestión nasal, dolor de garganta",Gripe,Cutervo
34699715.0,Patricia David López Herrera,2024-02-04,F,CASERIO CHORRILLOS,cansancio,Alergia,Cutervo
24906559.0,Fernando Andrés Martínez Vargas,2003-09-10,F,CASERIO MERENDANA,"ojos llorosos, picazón, estornudos",Alergia,Cutervo
79904572.0,Pedro Diego García Silva,1997-09-13,F,CASERIO SAN JOSE,"fiebre, tos seca, dificultad para respirar",COVID-19,Cutervo
